date,lang,percent,count,date_bin,rank,growth_rate
2009-01-01 00:00:00,pt,1.36435369275,52616876,3,5,4491.70302781
2009-01-01 00:00:00,ru,0.0744356173656,2870641,3,9,1883.48684074
2009-01-01 00:00:00,sv,0.0,0,3,22,0
2009-01-01 00:00:00,th,0.0,0,3,28,0
2009-01-01 00:00:00,tr,0.0227528172422,877472,3,14,2472.25104799
2009-01-01 00:00:00,ur,0.0,0,3,21,0
2009-01-01 00:00:00,zh-cn,0.0609525029012,2350659,3,11,691.443693625
2009-01-01 00:00:00,zh-tw,0.0236491383027,912039,3,13,204.783085262
2010-01-01 00:00:00,ar,0.0,0,4,31,0
2010-01-01 00:00:00,da,0.0,0,4,25,0
2010-01-01 00:00:00,de,0.644430712967,122786024,4,6,384.517658082
2010-01-01 00:00:00,en,70.0062339666,13338574576,4,1,323.776209956
2010-01-01 00:00:00,en-ss,0.0,0,4,30,0
2010-01-01 00:00:00,en-xx,0.0,0,4,23,0
2010-01-01 00:00:00,es,5.6315824919,1073008485,4,3,1512.51368804
2010-01-01 00:00:00,fa,0.0,0,4,27,0
2010-01-01 00:00:00,fi,0.0,0,4,26,0
2010-01-01 00:00:00,fil,0.00104114173306,198373,4,16,940.508785733
2010-01-01 00:00:00,fr,0.499382627457,95149418,4,7,634.577941667
2010-01-01 00:00:00,he,0.0,0,4,24,0
2010-01-01 00:00:00,hi,0.000462541882892,88130,4,18,283.407291395
2010-01-01 00:00:00,hu,0.0,0,4,19,0
2010-01-01 00:00:00,id,0.0394423628986,7515115,4,14,1958.34912792
2010-01-01 00:00:00,it,0.254703256551,48529655,4,9,737.878072939
2010-01-01 00:00:00,ja,16.2654141602,3099116000,4,2,1267.98633636
2010-01-01 00:00:00,ko,0.333281045159,63501403,4,8,2390.26086377
2010-01-01 00:00:00,msa,0.000577954296426,110120,4,17,600.286168521
2010-01-01 00:00:00,n/a,3.55351982411,677066691,4,4,120.203279514
2010-01-01 00:00:00,nl,0.0538356344578,10257524,4,12,489.040963734
2010-01-01 00:00:00,no,0.0,0,4,29,0
2010-01-01 00:00:00,pl,0.0,0,4,20,0
2010-01-01 00:00:00,pt,2.45586600125,467926211,4,5,789.308234491
2010-01-01 00:00:00,ru,0.12890674363,24561130,4,10,755.597408384
2010-01-01 00:00:00,sv,0.0,0,4,22,0
2010-01-01 00:00:00,th,0.0,0,4,28,0
2010-01-01 00:00:00,tr,0.0721776952978,13752312,4,11,1467.26505233
2010-01-01 00:00:00,ur,0.0,0,4,21,0
2010-01-01 00:00:00,zh-cn,0.0450450451302,8582617,4,13,265.115357013
2010-01-01 00:00:00,zh-tw,0.0140967944411,2685920,4,15,194.496178343
2011-01-01 00:00:00,ar,0.0,0,5,31,0
2011-01-01 00:00:00,da,5.21663168521e-05,30680,5,22,0
2011-01-01 00:00:00,de,0.42900683242,252307052,5,7,105.485155216
2011-01-01 00:00:00,en,68.1043077907,40053434651,5,1,200.282720787
2011-01-01 00:00:00,en-ss,0.0,0,5,30,0
2011-01-01 00:00:00,en-xx,0.0,0,5,26,0
